split,detector,fit_subjects,validation_subjects,train_observations,validation_observations,validation_raw_ece,validation_calibrated_ece,validation_ece_reduction,validation_raw_brier,validation_calibrated_brier,validation_brier_reduction
split_a,rtmpose_performance,S1+S2+S3+S4+S5+S6,S7,1447104,241152,0.2716621361405506,0.026488138167493527,0.2451739979730571,0.29647624209006246,0.2199065965829035,0.07656964550715895
split_a,yolo11l_pose,S1+S2+S3+S4+S5+S6,S7,1435764,240720,0.47855301911418746,0.009640449807577816,0.46891256930660963,0.4735839427330479,0.23284399700524888,0.240739945727799
split_b,rtmpose_performance,S1+S2+S3+S4+S5+S7,S8,1451424,240480,0.30307799402265906,0.021297967305780693,0.28178002671687835,0.30819853784179896,0.21509185174430243,0.09310668609749653
split_b,yolo11l_pose,S1+S2+S3+S4+S5+S7,S8,1440348,235992,0.4625444879850194,0.012512902821841606,0.4500315851631778,0.4606260361672613,0.23088150049084744,0.22974453567641384
split_c,rtmpose_performance,S1+S2+S3+S4+S5+S8,S6,1450752,236832,0.2876287250692867,0.0066411762345045125,0.2809875488347822,0.3045966101332326,0.22028801966287376,0.08430859047035882
split_c,yolo11l_pose,S1+S2+S3+S4+S5+S8,S6,1435620,236136,0.44825154362249053,0.030387353131347335,0.4178641904911432,0.4504629731079656,0.23754960432102482,0.2129133687869408
