split,seed,arm,train_detector,eval_detector,partition,relation,mpjpe_mm,pa_mpjpe_mm,samples,best_epoch,epochs_completed
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,130.5337908700295,87.84709333367233,19666,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,138.0903336864407,90.47659833000996,20060,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,142.67923382996034,95.55001096435473,19666,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,136.75548354935194,88.62604685942173,20060,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,144.65173475160174,95.85732395060002,19666,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,135.03269410518445,89.9873512275673,20060,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,143.61733289687785,96.14177864080138,19666,25,33
split_a,42,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,120.99767961739781,79.22997491899302,20060,39,47
split_a,42,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,127.5187291836164,85.04773705252721,19666,39,47
split_a,42,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,158.1181938559322,104.12473283275175,20060,39,47
split_a,42,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,163.03041972821111,111.03928734872369,19666,39,47
split_a,42,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,172.8073404785643,114.58879922731805,20060,40,48
split_a,42,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,180.40547057739246,121.40753235279162,19666,40,48
split_a,42,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,131.5456217285643,88.09602754237288,20060,40,48
split_a,42,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,137.05341627046678,93.60858564591173,19666,40,48
split_a,42,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,125.67615045488535,81.34921641326022,20060,48,50
split_a,42,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,132.50015095850708,87.71860063052985,19666,48,50
split_a,42,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,137.86907247008972,90.71270329636091,20060,48,50
split_a,42,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,144.68575126487337,96.1799179103529,19666,48,50
split_a,42,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,137.68627165378862,87.79146934197408,20060,36,44
split_a,42,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,146.25046558781654,95.37610398339774,19666,36,44
split_a,42,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,136.58050146435693,90.18375576395813,20060,36,44
split_a,42,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,142.90084012381774,95.55584431887522,19666,36,44
split_a,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,123.35980106555334,81.838071722333,20060,42,50
split_a,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,129.97286004398455,87.5965991431913,19666,42,50
