arm,relation,partition,train_detector,eval_detector,runs,mean_mpjpe_mm,std_mpjpe_mm,mean_pa_mpjpe_mm,std_pa_mpjpe_mm
bounded_reliability_dual_modulation,cross,test,rtmpose_performance,yolo11l_pose,9,158.6651110483042,6.810741070119073,105.41051179875454,5.058417343995119
bounded_reliability_dual_modulation,cross,test,yolo11l_pose,rtmpose_performance,9,173.1526027728797,10.575535938902068,115.29395644508048,6.344685728555999
bounded_reliability_dual_modulation,cross,val,rtmpose_performance,yolo11l_pose,9,157.8678690085181,6.344894863572485,105.34644753620142,4.135996913310373
bounded_reliability_dual_modulation,cross,val,yolo11l_pose,rtmpose_performance,9,171.89912296395676,8.019144904013677,114.88064186658555,4.662128903926734
bounded_reliability_dual_modulation,matched,test,rtmpose_performance,rtmpose_performance,9,120.33331720265099,7.9849287418957156,80.18738828846395,4.419709803397584
bounded_reliability_dual_modulation,matched,test,yolo11l_pose,yolo11l_pose,9,131.45430997407075,6.824867230827812,88.45341490240556,5.059320917768241
bounded_reliability_dual_modulation,matched,val,rtmpose_performance,rtmpose_performance,9,119.86504761719263,7.199941776455249,79.82229273238012,3.511081080801453
bounded_reliability_dual_modulation,matched,val,yolo11l_pose,yolo11l_pose,9,130.81229609795696,6.4726294219043545,88.1403346912176,4.0616007803128085
detector_aware_observed,cross,test,rtmpose_performance,yolo11l_pose,9,136.43510499256465,8.31829678722346,90.53015397191223,4.871739062746829
detector_aware_observed,cross,test,yolo11l_pose,rtmpose_performance,9,136.05808637802127,10.912780471037019,88.66971573424063,6.212015460392662
detector_aware_observed,cross,val,rtmpose_performance,yolo11l_pose,9,136.08973296138325,7.966157206702786,90.28117081962733,4.139557418076617
detector_aware_observed,cross,val,yolo11l_pose,rtmpose_performance,9,135.55972768882964,9.425388515798051,88.52136233452202,4.646707516319109
detector_aware_observed,matched,test,rtmpose_performance,rtmpose_performance,9,123.12828576565964,9.536520917171993,81.92132066386006,5.215396935978739
detector_aware_observed,matched,test,yolo11l_pose,yolo11l_pose,9,134.75719159837047,8.97451280719327,89.91059734416453,5.491211704930405
detector_aware_observed,matched,val,rtmpose_performance,rtmpose_performance,9,122.24587670645909,8.361424807947726,81.28075975429452,4.236487378381635
detector_aware_observed,matched,val,yolo11l_pose,yolo11l_pose,9,134.02048737542543,8.150477874029368,89.82137518427004,4.294994346024314
detector_conditioned_virtual_view_no_confidence,cross,test,rtmpose_performance,yolo11l_pose,9,136.37541939111264,7.2802686929498845,90.31758817479879,4.437325995615135
detector_conditioned_virtual_view_no_confidence,cross,test,yolo11l_pose,rtmpose_performance,9,136.03054248760188,8.884897487207637,88.83633716246666,5.669055602449491
detector_conditioned_virtual_view_no_confidence,cross,val,rtmpose_performance,yolo11l_pose,9,136.44634369153175,7.319797021413761,90.22452380151884,3.889984345090758
detector_conditioned_virtual_view_no_confidence,cross,val,yolo11l_pose,rtmpose_performance,9,136.16094523919435,9.815821075446935,88.22461199658221,5.088370443918917
detector_conditioned_virtual_view_no_confidence,matched,test,rtmpose_performance,rtmpose_performance,9,122.7323120544592,8.08641104663137,81.67640770949905,4.821503664553801
detector_conditioned_virtual_view_no_confidence,matched,test,yolo11l_pose,yolo11l_pose,9,134.84741590412114,8.029146332045539,89.92060175065858,5.080764392079713
detector_conditioned_virtual_view_no_confidence,matched,val,rtmpose_performance,rtmpose_performance,9,122.71771575124073,8.007200308383448,81.33987126909908,4.037049191254464
detector_conditioned_virtual_view_no_confidence,matched,val,yolo11l_pose,yolo11l_pose,9,134.399480242064,7.583474593883869,89.20680349972876,4.248844710139526
