epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.02708023250231455,118784,58,161.6598993800183,106.36690283883017,131.13070887587494,True
2,0.016097872903377844,118784,58,145.79489467933732,97.0081273344598,118.92556372692673,True
3,0.014182512038226786,118784,58,141.09370156392927,94.88306262069317,115.70394341108558,True
4,0.013215008545024642,118784,58,138.34883658146154,91.89697409543653,112.75566261372576,True
5,0.012358445674180984,118784,58,133.7964351051936,90.4296755894908,109.99621912408179,True
6,0.011871622473900688,118784,58,132.46323622827524,89.72473145771929,109.01939413976959,True
7,0.011435114923093853,118784,58,129.8422246607887,88.14629797553106,106.98182754447471,True
8,0.011152802356358233,118784,58,129.74848101306026,87.9832701017634,106.84425885495953,True
9,0.010854373637843749,118784,58,135.67086498882,88.97723187061693,109.87091522417296,False
10,0.010614111152445448,118784,58,129.6129203615713,87.92020832274622,106.75015203506206,True
11,0.010339823037642857,118784,58,131.72907879357658,87.84925344928347,107.57463097579067,False
12,0.010128520621821797,118784,58,127.09650926796422,85.90911487447912,104.49281609204931,True
13,0.0100163489837071,118784,58,125.84482591599756,86.70039471427482,104.4547561371247,True
14,0.009894533725134257,118784,58,130.46402788011994,86.84914228453094,106.44570879266833,False
15,0.009727538515139243,118784,58,132.24883674026833,85.3960299890741,106.27100088120051,False
16,0.009597678411880443,118784,58,125.50471735567639,84.78207698635532,103.15304459394167,True
17,0.009462231079694527,118784,58,129.71904935079783,85.62823727640004,105.39266358280905,False
18,0.009365472958648,118784,58,125.55019644399837,84.52004181382762,103.01217332519984,True
19,0.009258108101142892,118784,58,128.41799217400143,85.06235469178779,104.51572512838506,False
20,0.009191023667567763,118784,58,127.7942491297388,84.58028000813091,103.96573173321173,False
21,0.009036969618293745,118784,58,126.56074200884237,84.40105940009147,103.35308753979224,False
22,0.0089365408820068,118784,58,127.30541642316292,85.30161419160991,104.20824111475486,False
23,0.008903248540671736,118784,58,124.60676183428194,84.03902518040451,102.33196370362434,True
24,0.008843037444327411,118784,58,124.03556795660128,84.20927320484806,102.2005138400778,True
25,0.008702049224541104,118784,58,126.08613442041874,83.50481343378392,102.60993680615961,False
26,0.008661349721509835,118784,58,128.8012239239252,83.97450436401057,104.0000910600061,False
27,0.00859232500580878,118784,58,126.78637072492123,83.73767222596301,103.03783554832121,False
28,0.008517287013217294,118784,58,124.77866780160585,83.8628905852983,102.29516002834815,False
29,0.008462966002266982,118784,58,128.57172111622117,83.42164393612155,103.56478329631035,False
30,0.008419184190831307,118784,58,124.08232702764509,83.73351109106616,101.93060829002552,True
31,0.00834598095188367,118784,58,121.98399942194328,82.49122314577193,100.31255811975505,True
32,0.008298429853186524,118784,58,123.90601575998578,82.98480219026324,101.4017564346203,False
33,0.00825186132389153,118784,58,124.82818614061388,82.83750849616322,101.68803238328367,False
34,0.00818734225046275,118784,58,130.8827767684724,84.1913840170495,104.97238741751197,False
35,0.008175356530359593,118784,58,126.87359297184673,83.23195319646305,102.76155386184004,False
36,0.008080436245955783,118784,58,124.0676850416709,82.62822496887387,101.24965476973524,False
37,0.008047975471307492,118784,58,123.63078136116475,83.23867469382051,101.44388789801405,False
38,0.008036811884235719,118784,58,124.44356800741946,83.90522013797134,102.18348676971802,False
39,0.007973128448015657,118784,58,123.86004516465088,83.7737686121557,101.86374607246005,False
