epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.03241627929924891,118784,58,195.86725741762433,131.8416032111258,160.69677418823898,True
2,0.01637815126892308,118784,58,171.77160136784298,114.05262095749008,139.96785824634054,True
3,0.01383036323662462,118784,58,161.86287008669785,107.89719964024204,132.15351076716425,True
4,0.012504595877795384,118784,58,155.9456755949354,104.02097012292789,127.36412549011037,True
5,0.011750281033716324,118784,58,151.6198006712092,101.10982390292891,123.81539220170949,True
6,0.011106262465232405,118784,58,149.6784353389098,99.59103592494661,122.09271244028926,True
7,0.010657112788537452,118784,58,146.6163079680667,97.86831531895149,119.78769160109586,True
8,0.010265484950023478,118784,58,144.27037622038034,96.6420162018204,118.07870272040053,True
9,0.009960787659832116,118784,58,142.0152706447676,95.19716849511848,116.27317682272982,True
10,0.009699654139192968,118784,58,141.40882185624938,94.13210378953524,115.3737833986923,True
11,0.009425173224560145,118784,58,138.43738479482354,93.42888106376488,113.72796471745295,True
12,0.009255696184419352,118784,58,138.38620112122445,92.4326403278501,113.09908025521545,True
13,0.009089564438909292,118784,58,138.6380062671616,92.77791580328994,113.41316181374498,False
14,0.008973496596746403,118784,58,140.3105947447371,92.6582275564426,114.02162521398145,False
15,0.008799923503578737,118784,58,136.64415266195465,90.87790952659412,111.43578842971063,True
16,0.008644808677892232,118784,58,136.85619851520391,91.94268026034781,112.17364085082592,False
17,0.00851747504403365,118784,58,135.5219191752263,90.94550715702228,111.01851048489138,True
18,0.008418488974586642,118784,58,134.615902763653,89.64464645517644,109.85260584297527,True
19,0.008355834906728104,118784,58,136.28372254144207,90.98547938065697,111.35456805723577,False
20,0.00830695271524119,118784,58,135.2659523416048,90.33506432421439,110.54075495334283,False
21,0.008122033640292698,118784,58,133.54116082324825,89.18674639924235,109.13341213488873,True
22,0.008036550206678181,118784,58,132.87939209803721,88.72727200498322,108.58188599641916,True
23,0.007955082306831047,118784,58,133.7136571366826,89.79378193964202,109.57488293985686,False
24,0.007953838894850221,118784,58,132.51953561985152,89.10712532098546,108.66662260306477,False
25,0.007859801086757717,118784,58,131.67789029924742,87.61708024000814,107.41150906762343,True
26,0.0077330294739583446,118784,58,131.09041143343842,87.30401136479203,106.97999237988462,True
27,0.007697106571868062,118784,58,131.528328555629,86.92245976558527,106.92411256078464,True
28,0.007604688638821244,118784,58,131.5778167268382,87.82451153005186,107.49770919524403,False
29,0.007590615696370088,118784,58,132.63161992779416,86.96561284386759,107.39827796336186,False
30,0.007538155764983645,118784,58,130.9232717634496,87.71347241114105,107.16218916110131,False
31,0.007471527872157508,118784,58,129.61574068188753,86.51732368046375,105.89620857546278,True
32,0.0074107889487440215,118784,58,130.03172671107495,86.16047604367945,105.8470380984175,True
33,0.007340095086215899,118784,58,129.18380469465066,85.26315325307638,104.95055282129526,True
34,0.007311161583417962,118784,58,129.0509500851724,85.90606328816231,105.29130583962902,False
35,0.0072488691416922315,118784,58,131.03220024407608,86.46859904149294,106.4432749610309,False
36,0.007208980354962164,118784,58,128.9270496987186,85.54714672531273,105.02067052460656,False
37,0.0071810801224461915,118784,58,129.7328654149293,86.1101250254246,105.69443344276057,False
38,0.00713873615263608,118784,58,130.21475913378418,85.60943935599512,105.5822547842165,False
39,0.0070943611288635895,118784,58,128.03430015636124,85.31136185230855,104.51210700271245,True
40,0.007073328774101262,118784,58,128.06956168005695,85.60154502059392,104.70411811348743,False
41,0.007005471423075631,118784,58,129.46930060129156,85.15541893369267,105.00005967500768,False
42,0.007009171856695722,118784,58,128.1477748716058,85.72999998410963,104.81463990162085,False
43,0.006937202234784591,118784,58,128.19057637547036,84.47865565887827,104.0642472722332,True
44,0.006878577662503411,118784,58,128.20915539509815,85.85417487669073,104.91563872027646,False
45,0.006886453905688791,118784,58,129.48486283433337,85.08997762636021,104.96601393558655,False
46,0.006829791316955254,118784,58,127.98188339011492,85.47331411128343,104.5898452028539,False
47,0.006791135264110976,118784,58,127.84947927260247,84.75276849956778,104.0941752432919,False
48,0.006774521111671267,118784,58,126.92741835528324,84.20920465524254,103.38499382715867,True
49,0.006736330487283653,118784,58,128.73497883402828,84.75308749872877,104.45423363974959,False
50,0.006751588240651221,118784,58,126.85938215066612,84.32958691396318,103.4311330931179,False
