epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.031304539984156346,118784,58,167.64261167293424,111.75885030236813,136.87784898314808,True
2,0.016958045628692568,118784,58,146.00645152581563,96.96867258169021,118.98761193007127,True
3,0.014567102112903678,118784,58,138.9364288482061,91.19231621290274,112.5608046924731,True
4,0.013368279528643551,118784,58,135.22720487346274,89.00842470017278,109.71034810989548,True
5,0.012549030016465434,118784,58,128.0310911932107,86.05489791899583,104.96524416724516,True
6,0.011995046142617176,118784,58,127.12918455889826,85.22063424255514,104.08664534342606,True
7,0.011529885633880722,118784,58,124.67487644831792,84.16493990751093,102.43658274390565,True
8,0.011212178698644555,118784,58,122.89348511027544,83.31262704543144,101.18586408834813,True
9,0.010899346980169929,118784,58,125.52877896635837,83.65465160966562,102.4747103992855,False
10,0.010682653089792564,118784,58,121.73965611977843,81.45723809584307,99.58200718129179,True
11,0.010455698834667945,118784,58,120.80486615763797,81.85024996188638,99.43796303029792,True
12,0.010265411311310941,118784,58,119.4917388708202,80.73091936426466,98.21750320322725,True
13,0.010105552280257488,118784,58,118.18476852322391,80.56105604926822,97.57607166292989,True
14,0.009997280780225992,118784,58,118.22257089135074,80.40166763009452,97.4950862924982,True
15,0.009863380728096798,118784,58,119.31317492885456,80.85393824956805,98.21883769449482,False
16,0.009746999335314694,118784,58,117.3133242072365,79.52965081563167,96.59134386798078,True
17,0.009603377030198944,118784,58,117.11789101407663,79.08633729609208,96.24149329757003,True
18,0.009506449874105125,118784,58,116.01236231451367,79.24242451913304,95.88065948873195,True
19,0.009421628562669301,118784,58,116.41847494664091,79.01020651234882,95.90749578310762,False
20,0.009306033992947176,118784,58,117.47231362435207,80.03500855968595,96.96338291567147,False
21,0.009233670566102555,118784,58,115.68382044669174,79.15515701227258,95.69206326147135,True
22,0.009113815613090992,118784,58,114.36653956829963,78.38569484322593,94.68210322376906,True
23,0.009070930392320814,118784,58,115.2031488210184,79.01243973282345,95.40692770051977,False
24,0.008984093875463667,118784,58,114.51164371379205,78.00258934469966,94.51034186687444,True
25,0.008894185005719292,118784,58,116.73149186274011,79.09084701189146,96.08534000765066,False
26,0.008847670388761265,118784,58,114.79429835984348,78.07269142570384,94.66942396190146,False
27,0.008789690693133864,118784,58,115.34632584612257,78.2827411957516,95.02434727001732,False
28,0.00872379305354994,118784,58,114.2068648998882,78.33226628404817,94.58373302425929,False
29,0.008688665091477591,118784,58,114.61161735186502,77.89764267201951,94.48796121484372,True
30,0.008613204679869372,118784,58,114.59511415032016,78.51256479317004,94.853341136239,False
31,0.00853789636287196,118784,58,113.44458913507471,78.05643755081817,94.10143722228787,True
32,0.008517477613199374,118784,58,112.55949934571603,77.1785377388454,93.20502973616226,True
33,0.008432207934173017,118784,58,114.10115277848358,77.58083225874073,94.08539947428869,False
34,0.008425080377993912,118784,58,116.13715348358573,78.59265820332351,95.53809506391875,False
35,0.008392796883809155,118784,58,113.67623742250228,77.06265324855168,93.59589984123411,False
36,0.008304043913838165,118784,58,112.84286227004777,77.23519206093098,93.35652167970014,False
37,0.008244045897676,118784,58,113.01813414727107,77.39256283984653,93.52413083816862,False
38,0.008265662191692611,118784,58,113.26159210158552,77.31576109741843,93.5783425608695,False
39,0.008176425271185821,118784,58,112.99490150802927,77.68893243723956,93.6934003492766,False
40,0.00814866498594397,118784,58,112.33633928117695,76.66286549382559,92.80100036304363,True
41,0.008085792314196968,118784,58,112.14688436960057,76.76972420024902,92.7873126185442,True
42,0.00806458455767354,118784,58,112.70177673035877,76.8582669256276,93.07020596804544,False
43,0.00800507593546705,118784,58,112.45506244282956,77.06949940923874,93.09594711105075,False
44,0.007972933841740778,118784,58,112.2768653445472,75.88159484894298,92.30247887778668,True
45,0.007933391555180323,118784,58,111.84244699029372,76.83638692321374,92.70150770826346,False
46,0.007907937449435222,118784,58,112.10780916505742,76.67300292522106,92.71268726583526,False
47,0.007875874076552433,118784,58,111.64646432564285,76.00451249491819,92.11750698348149,True
48,0.007827635942797723,118784,58,113.23787510163635,77.08155681471695,93.42671835842573,False
49,0.007812187099700858,118784,58,112.05506228402277,76.27647904703223,92.45088215058391,False
50,0.0077639501300993665,118784,58,112.85318550538673,77.10070176720195,93.27947147754185,False
