epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.03155550688248256,118784,58,194.71889332003988,128.27570725324028,158.04336036732565,True
2,0.016233758695808977,118784,58,166.83181549102693,108.7109982552343,134.67164958803542,True
3,0.013732533966158998,118784,58,155.35554742023928,101.99655408773678,125.87982560870662,True
4,0.012409505289818707,118784,58,148.51848049601196,98.21816893070788,120.77753601845562,True
5,0.011619493349230495,118784,58,144.06376962861415,96.00597426470588,117.60519784193744,True
6,0.011091421502802906,118784,58,140.38783025922234,92.98380171984049,114.25320202384768,True
7,0.010622653885391253,118784,58,138.00119796859423,91.24676517323032,112.21480697601714,True
8,0.010241097064110739,118784,58,137.20850028040877,91.54388864656032,112.07408117415588,True
9,0.009929366634580595,118784,58,134.34526031281158,89.98568123753739,109.95066971275185,True
10,0.00972522904389891,118784,58,139.47575243020938,90.4392837113659,112.31245320485141,False
11,0.009488782395833525,118784,58,133.2395539942672,87.94372273803589,108.24778239858495,True
12,0.009217546417795378,118784,58,132.31485076021934,87.33527542372882,107.49769269055653,True
13,0.009057609203817516,118784,58,131.44031499252245,86.93260530907278,106.89456967004992,True
14,0.008914075534919212,118784,58,130.0341148429711,85.80268880857427,105.62801091741649,True
15,0.00877941977874986,118784,58,129.8827852380359,85.77264067173479,105.54804340993799,True
16,0.00861518480012129,118784,58,129.07768413509473,85.16799990653041,104.84888263759854,True
17,0.008503350814611748,118784,58,129.90660128988037,85.48624361291127,105.38134258393202,False
18,0.008474764092985925,118784,58,128.00496479312065,84.43252196535394,103.96048288445719,True
19,0.00829535589457072,118784,58,128.624506168993,83.40396856306081,103.57506586509088,True
20,0.008165428519313192,118784,58,127.00912808449651,83.02602894441675,102.68915982005376,True
21,0.008068208494384227,118784,58,125.99398834745763,82.38834823654038,101.88442760147868,True
22,0.008005376439541578,118784,58,127.95567126744766,83.99716631355932,103.67214572977124,False
23,0.007891598069269595,118784,58,128.98160362662014,83.1612350448654,103.56770469435452,False
24,0.00782804949819271,118784,58,125.4088344341974,82.5242538010967,101.7313642970909,True
25,0.007739672814656435,118784,58,125.59083998005983,82.44578296360918,101.75674491262671,False
26,0.007683111113849385,118784,58,124.63224233549352,82.65889596834496,101.49858892374375,True
27,0.007628093417412762,118784,58,124.55569852941177,82.49144597457627,101.36458787991288,True
28,0.0075366862744478316,118784,58,125.74334107053838,81.68746105433699,101.34917008314284,True
29,0.0074922828533654584,118784,58,127.06429928963111,82.71531888708873,102.51909107530322,False
30,0.007439908065736808,118784,58,124.07673541874377,81.5807094341974,100.60948315015004,True
31,0.007374887900619671,118784,58,124.31659786266201,81.48680988285145,100.64871074841264,False
32,0.007340497610255562,118784,58,124.6261395500997,82.16962082502492,101.19526980901001,False
33,0.007274235919888677,118784,58,123.2934407714357,81.18879922731804,100.05021943422874,True
34,0.007226308317983459,118784,58,123.38716974077767,80.57217488160518,99.70743512146042,True
35,0.007161515018228313,118784,58,125.62217799725822,81.33191830757727,101.07963552809704,False
36,0.007120559827007097,118784,58,122.88017665752741,80.93149068419741,99.7239984779552,False
37,0.007098314215846616,118784,58,123.82278087612164,80.31689618644067,99.72492886507291,False
38,0.0070504339588484885,118784,58,122.65124236665005,80.36516544117647,99.28185828418837,True
39,0.006979080976854111,118784,58,124.14955446161515,80.0479833935693,99.68912415034248,False
40,0.0070019045860731394,118784,58,122.29859951395812,80.81373301969093,99.41532261076819,False
41,0.006901965757575014,118784,58,123.12499844217348,80.42964154411764,99.51331312856615,False
42,0.006898565555055593,118784,58,122.96760110294117,80.29745918494517,99.3679321040447,False
43,0.0068495297515443684,118784,58,123.45770578888335,80.23806626994018,99.52892835062175,False
44,0.00682573506191116,118784,58,124.73552623379861,80.37871853190428,100.13032384884941,False
45,0.006798873398581456,118784,58,122.7463874002991,80.25500607552343,99.2522647930996,True
46,0.00675827883794133,118784,58,125.77420239282154,80.97685303464606,100.91976566913608,False
47,0.006702521655323176,118784,58,121.82566986540378,79.5755678277667,98.45987434248306,True
48,0.006654105101037642,118784,58,121.16589294616152,79.46684399925225,98.12579229123563,True
49,0.006629042897437667,118784,58,123.86213001620139,80.72575398803589,99.99431901924224,False
50,0.006602115367121738,118784,58,123.42068014705882,80.08808885842473,99.42095553043565,False
