epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.02861354288099141,118784,58,185.34269535144566,119.76851554710868,148.9906691365021,True
2,0.01611240468276986,118784,58,164.6303511340977,105.48852037637089,131.78244249587408,True
3,0.0144931193409038,118784,58,157.8772533960618,101.69781359047856,126.71137078435164,True
4,0.013633433777582029,118784,58,151.70990310319044,99.62701894317048,122.94065800347789,True
5,0.013046011922816778,118784,58,150.5331412013958,98.69401405159522,121.88814525195355,True
6,0.012625774095669902,118784,58,146.39949370638087,96.95348018444666,119.13832469895915,True
7,0.012236315692807066,118784,58,144.80847379735792,95.92545877991027,117.85931988701688,True
8,0.01190249108034989,118784,58,144.15963437811564,95.97002975448655,117.62229550839271,True
9,0.011709534996670896,118784,58,144.22774333250248,96.28756231306082,117.8445494004728,False
10,0.011432693580743569,118784,58,142.35797217721836,94.84184477816551,116.1959237674289,True
11,0.011205451225797677,118784,58,142.40664802467597,94.47996790877367,115.99385990373548,True
12,0.010999893946251992,118784,58,141.89315802592225,94.91878816674975,116.05311977268711,False
13,0.01084104888462301,118784,58,141.00497180333997,93.22923417248255,114.65507200179974,True
14,0.010728858539770389,118784,58,140.7619376246261,93.92215618768694,114.9811492848353,False
15,0.010587060390489882,118784,58,139.41730044242274,92.84274208624127,113.77119348647031,True
16,0.010482708104597083,118784,58,139.08332814057826,92.6614679399302,113.52385366731075,True
17,0.010330988608043769,118784,58,138.29006028788635,92.51898367397807,113.11258033502905,True
18,0.010210098217016664,118784,58,139.91400252367896,93.42666999002991,114.33153257419391,False
19,0.01013532383688565,118784,58,138.80324495264207,92.85085680458624,113.52532854438114,False
20,0.010046503089111427,118784,58,138.5029037886341,91.9979008287637,112.8803632490725,True
21,0.009911563086869388,118784,58,136.48539381854437,91.45284069666002,111.72276839708299,True
22,0.00983666859824082,118784,58,137.8329986602692,92.37946862537387,112.84032601546991,False
23,0.00974943623717489,118784,58,138.45719248504486,92.04135484172483,112.88838551376759,False
24,0.009670463888424224,118784,58,137.80607007103688,92.07773788010967,112.64488980104228,False
25,0.009603873810506073,118784,58,136.95359312686938,91.52058044616152,111.95567130413056,False
26,0.009536999887947378,118784,58,136.97414319541375,91.92166936689931,112.2091435785121,False
27,0.00947398096644159,118784,58,136.34247881355932,91.02924819292123,111.40535598954655,True
28,0.009354764948888072,118784,58,137.6551338172981,91.48892463235295,112.22263658935859,False
29,0.009293368294963548,118784,58,137.88698591724827,92.23159739531405,112.77205758153471,False
30,0.009264069256083718,118784,58,137.15683574277168,92.25790986415753,112.48912387075335,False
31,0.009213388030385149,118784,58,136.17299975074775,91.48939821161515,111.61713936428549,False
32,0.00914351468713119,118784,58,137.27059290877366,91.67604919616151,112.18032638877013,False
33,0.00907028371725103,118784,58,135.3571410767697,91.13564307078764,111.06691719974373,True
34,0.009010106084290249,118784,58,136.27672373504487,90.9458881168993,111.32747940084238,False
35,0.008956687557029313,118784,58,136.4191145314058,91.46334278414756,111.70205116601868,False
36,0.0088892778028445,118784,58,135.4272183449651,90.00870591350947,110.40665137887572,True
37,0.008878630056078064,118784,58,135.2823132166002,90.60275813185444,110.71111373245868,False
38,0.008851533498743484,118784,58,136.552535362662,91.08800162013958,111.52711581650593,False
39,0.008775360336334541,118784,58,137.39286593344966,92.05483315677967,112.4618928812578,False
40,0.008723721967945838,118784,58,135.68266840104687,90.90549055957129,111.0598916415319,False
41,0.00865761089491947,118784,58,135.77970775174475,91.2098057390329,111.28540231018306,False
42,0.008638832573618355,118784,58,135.89894613035892,91.21947828389831,111.3401588167672,False
43,0.00856936835394851,118784,58,135.2399512400299,90.6999883163011,110.75315795663725,False
44,0.008538258840040914,118784,58,136.71723657153538,91.15719248504486,111.63672984360866,False
