epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.02929267190910619,118784,58,164.87650787046448,108.86886846986482,133.97730721700682,True
2,0.01733339324208169,118784,58,150.46351572822442,97.96799328564894,121.41090848271347,True
3,0.01552243328428474,118784,58,143.7172230727208,94.6917893713792,116.65693728296486,True
4,0.014554937659152624,118784,58,139.88756796930582,93.46141153826608,114.34198511074774,True
5,0.013914399667932042,118784,58,137.16745064284987,92.26936569392214,112.50046073091492,True
6,0.013390184492515078,118784,58,137.5590070446692,92.19002304286514,112.61246835586947,False
7,0.012977040019528619,118784,58,134.1782050386218,91.1813049471491,110.60987221259987,True
8,0.01266853103478407,118784,58,136.3419872446387,91.55817727919504,111.72834841141426,False
9,0.01237230004485825,118784,58,135.26435295761763,90.70735759795203,110.76764886004497,False
10,0.01210918914976305,118784,58,132.20830210133144,89.76782367999797,108.94058725775359,True
11,0.011897951284230783,118784,58,133.02666842412847,90.36333643535929,109.6391061331882,False
12,0.01178217004856159,118784,58,129.7730881250635,89.36936871125114,107.69279902317744,True
13,0.011611284896859834,118784,58,131.01197085577803,89.25073289333265,108.13378018305902,False
14,0.011447677196099841,118784,58,129.71691181141375,88.15183914142698,106.93355106757848,True
15,0.011282385423265654,118784,58,128.214308968137,87.86986657053562,106.14223580396084,True
16,0.0111701559628649,118784,58,128.61453463258462,87.30076259020225,105.9629508536291,True
17,0.011088723846679104,118784,58,128.13676281888402,87.79059895568655,106.06226075335456,False
18,0.010937843263020804,118784,58,127.67857347037301,86.89392857823458,105.3303984807115,True
19,0.010834532147594568,118784,58,125.9530567130806,86.33545790349629,104.27950338234668,True
20,0.01074842008729947,118784,58,126.13482140588475,86.76784035471084,104.61570650201513,False
21,0.010625061273960203,118784,58,126.66512174128468,87.5819673302673,105.3260677811031,False
22,0.010556749116372445,118784,58,127.49157291772538,87.37963954034963,105.54699278512412,False
23,0.010482743398511204,118784,58,125.78058698165464,87.04975099095437,104.63827586619111,False
24,0.010396670373477813,118784,58,127.23803549649355,86.94115096808619,105.1770947164037,False
25,0.01030515047625221,118784,58,126.73179121353796,86.92632278115154,104.95869944726594,False
26,0.010201715205892407,118784,58,126.15671212775689,86.12637606082936,104.23732743750188,True
27,0.010182789912254646,118784,58,125.36503805010672,85.99643002337636,103.83133304573296,True
28,0.010115817028643757,118784,58,127.67039492072365,86.77439669300742,105.2545556961968,False
29,0.010018451749507723,118784,58,124.95092552596809,86.09673318553715,103.72013544290807,True
30,0.009989444953228893,118784,58,125.77607051656672,85.97792109208252,103.99021620395632,False
31,0.009880975868296006,118784,58,127.85347929794695,86.04123060969103,104.88408218850948,False
32,0.009846240169657716,118784,58,125.05651854228071,85.56586749796728,103.44355705091486,True
33,0.009789816617708781,118784,58,124.20182119625979,85.33232940974692,102.94868002849637,True
34,0.009744595880780754,118784,58,124.66357893332656,85.4339085844598,103.20124420956081,False
35,0.009689163512967783,118784,58,124.83262161423926,85.39579495502592,103.24815232762238,False
36,0.009640236465453074,118784,58,124.00857477258867,85.33095890715519,102.86773351277186,True
37,0.00960339628288458,118784,58,123.89590135557475,84.79359127261408,102.49672394714241,True
38,0.009512540161738107,118784,58,123.15941422527696,84.51498619969001,102.02360606061319,True
39,0.009502785071602156,118784,58,125.7592131758817,85.64158022283769,103.77965958685363,False
40,0.00941819323483726,118784,58,125.5144545939628,85.67791283412949,103.70060993130583,False
41,0.009413902551449579,118784,58,123.66074343810347,85.05612628951113,102.55780716711021,False
42,0.009345007145070824,118784,58,124.66576729088322,84.89770579771826,102.87778008155217,False
43,0.00929547642389762,118784,58,123.39334377223295,84.29466123335705,101.987254653371,True
44,0.009257263102536571,118784,58,122.77087912262425,84.59918198622827,101.91327659095316,True
45,0.00921564486584273,118784,58,125.23021426212013,84.86315460158552,103.08943221162866,False
46,0.009178503833968064,118784,58,124.47283768675679,85.01038516998679,102.86633985396993,False
47,0.00916507043715181,118784,58,124.67791045202765,84.95686291480334,102.91862876455865,False
48,0.009116877175482183,118784,58,126.52570684901922,85.01877890283565,103.71625280601765,False
49,0.009099673672482884,118784,58,125.70325601560118,85.87420715710438,103.89738903074641,False
50,0.009047182678277123,118784,58,125.46522528331131,85.11585868419047,103.33963607926268,False
