split,seed,detector,arm,checkpoint,sha256,report
split_a,42,rtmpose_performance,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_aware_observed\train_rtmpose_performance\best.pt,25db846f7c023fe93ebe9bb05f4a72d347c185d6db3fe0428d23c1f8437b0762,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_aware_observed\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\best.pt,62375b1f9d86a313a9989bb618dd25f7eaaed9de55417c8a336925c3dfa7d128,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed42\bounded_reliability_observed_modulation\train_rtmpose_performance\best.pt,62b385dc0ec4f7679a053cdcca5d37fe21bc3ba055609b769c92a7e2ccdf2106,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed42\bounded_reliability_observed_modulation\train_rtmpose_performance\phase9c_r1e_run_report.json
split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\bounded_reliability_dual_modulation\train_rtmpose_performance\best.pt,2864084fb9f3e34fa7fc4fa8938e7a5deaa40756b3b002a3a5e5fda0c8b4f522,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\bounded_reliability_dual_modulation\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,42,yolo11l_pose,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_aware_observed\train_yolo11l_pose\best.pt,75f806b8592a334eff011d4c9575db13f2ee38c87314866acfde4b9e2beea5f9,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_aware_observed\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\best.pt,350d29594818cc1ed9f35122a7690b9cd76912973054b1f153a08c72a87349c9,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed42\bounded_reliability_observed_modulation\train_yolo11l_pose\best.pt,010f4f3d2baccb2d7e53758ca169b0205a0ff6b35cb36d4448ab69a391cefee4,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed42\bounded_reliability_observed_modulation\train_yolo11l_pose\phase9c_r1e_run_report.json
split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\bounded_reliability_dual_modulation\train_yolo11l_pose\best.pt,c7d68daedcb897d9b2bf05ffdd6359f0160dbceef46eb501d10ee1b1ebfee8bd,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed42\bounded_reliability_dual_modulation\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,123,rtmpose_performance,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_aware_observed\train_rtmpose_performance\best.pt,b650ff7bd6a3384d3ffa0836654e222931b7b3de1d428b1206d2404845350263,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_aware_observed\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\best.pt,164b7263e39870346fa2b26c85f2e0138e2318441edaa93f8622c04599b1d379,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\phase9c_r1d_run_report.json
