subject,split,seed,detector,arm,valid_frames,detector_success_rate,MPJPE_mm,PA_MPJPE_mm,3DPCK_at_150mm_pct,AUC_0_to_150mm_pct
TS4,split_a,42,yolo11l_pose,detector_aware_observed,558,1.0,153.0332794189453,94.77371978759766,60.66308243727598,28.004476157441815
TS5,split_a,42,yolo11l_pose,detector_aware_observed,276,1.0,140.6766357421875,90.328125,66.14906832298136,30.426434248313633
TS6,split_a,42,yolo11l_pose,detector_aware_observed,392,1.0,138.5030975341797,114.13343048095703,69.93440233236151,34.33414840590615
TS1,split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,603,1.0,109.19192504882812,66.37911987304688,77.01966358682778,38.44983989423085
TS2,split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,540,1.0,135.17581176757812,86.97372436523438,66.4021164021164,30.809011776753714
TS3,split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,506,1.0,133.1434326171875,80.10650634765625,67.20779220779221,30.929764485164196
TS4,split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,558,1.0,154.4522247314453,94.62236022949219,60.189452124936,27.271113093173444
TS5,split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,276,1.0,133.82252502441406,90.06116485595703,72.59316770186336,33.66643291257597
TS6,split_a,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,392,1.0,137.18643188476562,111.38145446777344,68.91399416909621,33.67758393680053
TS1,split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,603,1.0,98.50835418701172,61.58470916748047,81.71049514333096,43.5713139372263
TS2,split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,540,1.0,133.0332489013672,87.88814544677734,68.28042328042329,32.128776241679475
TS3,split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,506,1.0,126.74800872802734,79.38381958007812,70.53924336533032,33.26487677820076
TS4,split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,558,1.0,148.16090393066406,92.16571807861328,63.24884792626728,29.81269510926119
TS5,split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,276,1.0,143.58106994628906,89.981689453125,65.9679089026915,29.897148200093504
TS6,split_a,42,yolo11l_pose,bounded_reliability_observed_modulation,392,1.0,128.84671020507812,108.79386901855469,72.74052478134111,36.658868616571056
TS1,split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,603,1.0,103.929931640625,62.81711959838867,80.17057569296375,40.79028819038448
TS2,split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,540,1.0,127.79798126220703,84.40426635742188,70.31746031746032,32.865250042669395
TS3,split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,506,1.0,128.5130157470703,79.374267578125,69.90400903444382,32.72026010455183
TS4,split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,558,1.0,146.5365753173828,91.26934051513672,63.14644137224782,28.986422872999352
TS5,split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,276,1.0,147.3013458251953,92.1773452758789,65.65734989648033,29.103219127763314
TS6,split_a,42,yolo11l_pose,bounded_reliability_dual_modulation,392,1.0,130.1291961669922,102.36138153076172,70.91836734693877,34.53517351641117
TS1,split_a,123,rtmpose_performance,detector_aware_observed,603,1.0,93.38231658935547,60.299903869628906,83.71239042880833,44.82770479400233
TS2,split_a,123,rtmpose_performance,detector_aware_observed,540,1.0,127.4237289428711,80.62987518310547,69.49735449735451,32.64080901177675
TS3,split_a,123,rtmpose_performance,detector_aware_observed,506,1.0,124.92294311523438,76.16059875488281,69.74872953133823,32.053150215843054
TS4,split_a,123,rtmpose_performance,detector_aware_observed,558,1.0,141.46893310546875,88.46977996826172,64.20890937019969,28.89516541961912
TS5,split_a,123,rtmpose_performance,detector_aware_observed,276,1.0,131.4884033203125,76.07828521728516,69.84989648033127,32.75896613905029
TS6,split_a,123,rtmpose_performance,detector_aware_observed,392,1.0,134.3610076904297,108.39520263671875,71.51967930029156,35.371602558073924
TS1,split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,603,1.0,96.7136001586914,59.456153869628906,82.51599147121536,43.033679528624155
TS2,split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,540,1.0,128.9624481201172,81.94976806640625,68.3994708994709,32.28835978835979
TS3,split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,506,1.0,125.3616943359375,75.61827850341797,69.08526256352343,32.37281652428917
TS4,split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,558,1.0,146.10252380371094,88.14447021484375,62.6600102406554,28.26709941694333
TS5,split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,276,1.0,124.02745056152344,77.92243194580078,72.30848861283644,35.08899352167234
TS6,split_a,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,392,1.0,130.52996826171875,103.77972412109375,72.59475218658892,37.42535032446158
TS1,split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,603,1.0,93.23056030273438,59.38210678100586,84.3875858801232,44.338598864357174
TS2,split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,540,1.0,115.49335479736328,74.33431243896484,74.7883597883598,35.555555555555564
TS3,split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,506,1.0,119.58416748046875,72.34210205078125,71.8661773009599,33.730259922405786
TS4,split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,558,1.0,134.07489013671875,84.81819152832031,67.10189452124936,31.36076837949886
TS5,split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,276,1.0,122.37782287597656,74.04644012451172,73.65424430641822,35.88375743004074
TS6,split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,392,1.0,134.54696655273438,106.31214904785156,71.06413994169097,34.68153390388413
TS1,split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,603,1.0,99.70756530761719,59.89030838012695,81.30774697938877,40.894987428449156
TS2,split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,540,1.0,123.48299407958984,75.52007293701172,71.26984126984127,32.70310633213858
TS3,split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,506,1.0,123.9762191772461,72.21784210205078,69.57933370976849,32.13329447551047
TS4,split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,558,1.0,141.52947998046875,85.0315170288086,63.65847414234511,28.711411723898717
TS5,split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,276,1.0,137.51687622070312,74.35404968261719,64.41511387163561,29.782775662859816
TS6,split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,392,1.0,136.85675048828125,108.78404235839844,71.4832361516035,34.88314680710994
TS1,split_a,123,yolo11l_pose,detector_aware_observed,603,1.0,99.61966705322266,64.76740264892578,81.80525941719972,43.5613789730304
